TMDB_ID,SERIES,STATUS,RELEASE_DATE,RUNTIME,OVERVIEW,Vote_Average,Vote_Count,Genres,Keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,Cast,Crew,Videos
225930,Love Endures,Ended,2024-01-20,45,"In an aerospace city in the north, seven children who were born an only child became closer than siblings and called themselves ""The Big Dipper."" They all promised to conquer the college entrance examinations so they can go to Beijing together but seventeen came and went and only Huang Yingzi made it.""The Big Dipper"" was no more as everyone parted ways. Huang Yingzi went to Beijing for school and Jiang Yi left for the States. ""Who do you like at the age of seventeen"" has become a mystery linge...",6.917,6,Drama,,要久久爱,/q1ryxOH0JsPG0rYFdOiAg47m4NM.jpg,/jG3ME9rxdvcg3BkdaTGVkIyCadF.jpg,13.9156,zh,TV,32,1,https://v.youku.com/v_show/id_XNjMyNDExODg1Ng==.html,"Yang Zi, Fan Chengcheng, Zhu Yanmanzi",,《要久久愛 Love Endures》官方預告：#楊紫 #范丞丞 青梅竹馬好兄弟變命定真愛小情侶！十七歲喜歡的人還在你身邊嗎？無論在哪記得要久久愛！ | 都市 青春 愛情 | KUKAN Drama
243084,Love Game in Eastern Fantasy,Ended,2024-11-01,45,"Pulled into the pages of a fantasy novel, a woman is shocked to find herself stuck in the role of a villain. Now, she must battle to rewrite her destiny.",8.0,18,"Drama, Sci-Fi & Fantasy","based on novel or book, attempted murder, transmigration, costume drama, scheme, brother sister relationship, alternate universe, historical romance, bickering couple, fantasy, romantic fantasy, xuanhuan",永夜星河,/cvbYjugS8OPtgPu9J7A9VjKjnsA.jpg,/l6mjLNONAP5IqVwlsTMdciPTmgQ.jpg,12.6757,zh,TV,32,1,https://v.qq.com/x/cover/mzc002007sqbpce/a3567o6sjv8.html,"Yu Shuxin, Ding Yuxi, Zhu Xudan",Zhao Yilong,"ENG SUB | Love Game in Eastern Fantasy Trailer | 永夜星河 | Yu Shuxin, Ding Yuxi"
99353,Love Is Blind,Returning Series,2020-02-13,0,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",6.335,85,Reality,"blind date, engagement, single, love, wedding, falling in love, dating show, social experiment, single ladies, single men",Love Is Blind,/8XhV6ke8ltRYoG4SYmibF2bGwrC.jpg,/5sZyCtojLzqYAsz0qH9QMllu55I.jpg,11.9701,en,TV,110,8,https://www.netflix.com/title/80996601,"Nick Lachey, Vanessa Lachey",,Love is Blind | Official Trailer | Netflix
253030,Love Is Blind Germany,Returning Series,2025-01-03,0,"The experiment comes to Germany as local singles seek true love and a commitment that lasts a lifetime, all before meeting each other face-to-face.",4.5,6,Reality,"blind date, dating show",Love Is Blind: Germany,/4hipE5TB2MDiIMW9bGNDbXrVkD5.jpg,/wMFt6wmzAlqS9Ji6ZDrFH0908wp.jpg,1.242,de,TV,10,1,https://www.netflix.com/title/81682952,"Steffi Brungs, Christian Wackert",,Official Trailer [Subtitled]
247634,Love Is Blind Habibi,Returning Series,2024-10-10,0,"Celebrity couple Khaled Saqer and Elham Ali host this social experiment, where Arab singles connect and commit to marriage — before meeting face-to-face.",5.278,9,Reality,"blind date, dating show",الحب أعمى، حبيبي,/lzGnypnoStkAsDnmgHtauq1g53z.jpg,/csmPiAn5MJ0Y8qPDLCBsPbSADEG.jpg,1.7892,ar,TV,10,1,https://www.netflix.com/title/81622654,"Elham Ali, Khaled Saqer",,Official Trailer [Subtitled]
253028,Love Is Blind Mexico,Returning Series,2024-08-01,0,These singles have to put a ring on it... without ever seeing one another. The Emmy-nominated experiment that ponders if love is blind arrives in Mexico.,4.5,4,Reality,"blind date, dating show",Love is Blind: México,/4Ro20hZwGJBijGv3xvuJvLsVglY.jpg,/m552xrtdd95704AyFGvjQxhX3FR.jpg,0.9236,es,TV,11,1,https://www.netflix.com/title/81515696,"Omar Chaparro, Lucy Chaparro, Luis Fer Campos",,
241140,Love Is Blind Sweden,Returning Series,2024-01-12,0,The unique dating experiment lands in Sweden as local singles seek true love and propose marriage — all before seeing each other in person.,5.556,9,Reality,"blind date, engagement, single, love, wedding, falling in love, dating show, social experiment, single ladies, single men",Love is Blind: Sverige,/dwnREOnAaleZQd02zSLCWLGiV8P.jpg,/Ade7YQlNMSvylJ3NffFzHbb5VEc.jpg,2.4306,sv,TV,22,2,https://www.netflix.com/title/81626839,Jessica Almenäs,,Official Trailer [Subtitled]
237316,Love Is Blind UK,Returning Series,2024-08-07,0,"Emma and Matt Willis host a social experiment where British singles look for love and get engaged before meeting in person. But who will say ""I do""?",6.1,10,Reality,"blind date, engagement, single, love, wedding, falling in love, dating show, social experiment, single ladies, single men",Love Is Blind: UK,/rGeMqJbsKBvt7YoAgeNcpnC75ge.jpg,/zXqjSkvpOtkr4qeHSnDBEVoqDV5.jpg,1.8442,en,TV,12,1,https://www.netflix.com/title/81676358,"Emma Willis, Matt Willis",,Meet the Cast
243754,Love Island,Returning Series,2024-01-15,48,Some of your favourite Islanders from across the years heading back to the stunning South African villa to once again 'graft' as their search for love continues.,3.4,19,Reality,dating show,Love Island: All Stars,/hOHKevqnalNfhtVwTL8RqVKzQHC.jpg,/zA1AppSztteljdiZQSTrXi0tC7P.jpg,8.1456,en,TV,72,2,https://www.itv.com/watch/love-island-all-stars/10a5231/2a3697a0505,"Maya Jama, Iain Stirling",,Trailer
102316,Love Life,Canceled,2020-05-27,30,"A romantic comedy anthology series which follows a different protagonist each season on the journey from first love to last love, with each half-hour episode chronicling one of their relationships.",6.883,94,"Comedy, Drama","love, anthology, romance, bittersweet, intimate",Love Life,/yIlbPxb7KC4k112v8vattKwLsN7.jpg,/4FcM7aI4IbROqlMEcp70fSl57W5.jpg,5.7585,en,TV,20,2,https://www.hbomax.com/love-life/,"William Jackson Harper, Jessica Williams, Chris Powell",,BBC Trailer
